BTCUSDT
Opentime;Open;High;Low;Close;Volume;CloseTime
1606896900000;19072.05000000;19342.00000000;19072.03000000;19330.93000000;2005.89120500;1606897799999
1606897800000;19330.93000000;19339.50000000;19207.67000000;19267.56000000;1034.85335100;1606898699999
1606898700000;19267.34000000;19269.98000000;19129.56000000;19195.19000000;1013.90200700;1606899599999
1606899600000;19195.52000000;19255.72000000;19146.39000000;19225.89000000;671.16396400;1606900499999
1606900500000;19225.00000000;19319.67000000;19197.55000000;19242.91000000;886.60495300;1606901399999
1606901400000;19242.91000000;19259.83000000;19127.48000000;19149.90000000;881.88483700;1606902299999
1606902300000;19149.90000000;19156.08000000;18977.03000000;19035.99000000;1255.42522300;1606903199999
1606903200000;19036.29000000;19154.00000000;18991.43000000;19034.91000000;1093.45429800;1606904099999
1606904100000;19034.91000000;19149.71000000;19008.99000000;19100.41000000;743.60557600;1606904999999
1606905000000;19099.45000000;19179.52000000;19069.59000000;19127.22000000;866.25917200;1606905899999
1606905900000;19127.21000000;19196.63000000;19072.90000000;19103.39000000;640.75489000;1606906799999
1606906800000;19103.38000000;19187.29000000;19061.32000000;19075.07000000;551.64857700;1606907699999
1606907700000;19075.72000000;19171.84000000;19022.47000000;19132.43000000;966.10782000;1606908599999
1606908600000;19132.43000000;19199.00000000;19110.70000000;19143.53000000;660.64914400;1606909499999
1606909500000;19143.53000000;19154.18000000;19068.85000000;19127.31000000;510.45847800;1606910399999
1606910400000;19127.31000000;19129.13000000;18845.50000000;18940.00000000;1802.30839500;1606911299999
1606911300000;18940.00000000;18969.49000000;18875.07000000;18948.21000000;560.12990400;1606912199999
1606912200000;18947.49000000;18953.88000000;18792.31000000;18799.60000000;978.31474400;1606913099999
1606913100000;18799.60000000;18950.00000000;18794.00000000;18940.98000000;788.24478100;1606913999999
1606914000000;18940.97000000;19100.00000000;18919.31000000;19077.50000000;975.52184300;1606914899999
1606914900000;19077.51000000;19247.00000000;19032.74000000;19200.00000000;1266.57057900;1606915799999
1606915800000;19199.99000000;19250.70000000;19152.02000000;19163.58000000;962.78702500;1606916699999
1606916700000;19163.59000000;19206.65000000;19110.22000000;19124.51000000;750.36043700;1606917599999
1606917600000;19126.75000000;19169.18000000;19055.00000000;19155.27000000;888.83379800;1606918499999
